[2022-12-30 9:27:46,588]  FINE {org.wso2.carbon.server.util.PatchUtils processPatches} - Checking for patch changes ...  
[2022-12-30 9:27:46,594]  FINE {org.wso2.carbon.server.util.PatchUtils processPatches} - No new patch or service pack detected, server will start without applying patches   
[2022-12-30 9:27:46,596]  FINE {org.wso2.carbon.server.util.PatchUtils checkMD5Checksum} - Patch verification started  
[2022-12-30 9:27:46,597]  FINE {org.wso2.carbon.server.util.PatchUtils checkMD5Checksum} - Patch verification successfully completed  
[2022-12-30 11:45:39,191]  FINE {org.wso2.carbon.server.util.PatchUtils processPatches} - Checking for patch changes ...  
[2022-12-30 11:45:39,225]  FINE {org.wso2.carbon.server.util.PatchUtils processPatches} - No new patch or service pack detected, server will start without applying patches   
[2022-12-30 11:45:39,227]  FINE {org.wso2.carbon.server.util.PatchUtils checkMD5Checksum} - Patch verification started  
[2022-12-30 11:45:39,228]  FINE {org.wso2.carbon.server.util.PatchUtils checkMD5Checksum} - Patch verification successfully completed  
[2023-01-03 8:37:08,165]  FINE {org.wso2.carbon.server.util.PatchUtils processPatches} - Checking for patch changes ...  
[2023-01-03 8:37:08,183]  FINE {org.wso2.carbon.server.util.PatchUtils processPatches} - No new patch or service pack detected, server will start without applying patches   
[2023-01-03 8:37:08,183]  FINE {org.wso2.carbon.server.util.PatchUtils checkMD5Checksum} - Patch verification started  
[2023-01-03 8:37:08,184]  FINE {org.wso2.carbon.server.util.PatchUtils checkMD5Checksum} - Patch verification successfully completed  
[2023-01-04 13:16:12,010]  FINE {org.wso2.carbon.server.util.PatchUtils processPatches} - Checking for patch changes ...  
[2023-01-04 13:16:12,022]  FINE {org.wso2.carbon.server.util.PatchUtils processPatches} - No new patch or service pack detected, server will start without applying patches   
[2023-01-04 13:16:12,024]  FINE {org.wso2.carbon.server.util.PatchUtils checkMD5Checksum} - Patch verification started  
[2023-01-04 13:16:12,025]  FINE {org.wso2.carbon.server.util.PatchUtils checkMD5Checksum} - Patch verification successfully completed  
[2023-01-05 8:13:04,780]  FINE {org.wso2.carbon.server.util.PatchUtils processPatches} - Checking for patch changes ...  
[2023-01-05 8:13:04,790]  FINE {org.wso2.carbon.server.util.PatchUtils processPatches} - No new patch or service pack detected, server will start without applying patches   
[2023-01-05 8:13:04,791]  FINE {org.wso2.carbon.server.util.PatchUtils checkMD5Checksum} - Patch verification started  
[2023-01-05 8:13:04,792]  FINE {org.wso2.carbon.server.util.PatchUtils checkMD5Checksum} - Patch verification successfully completed  
[2023-01-10 8:32:07,404]  FINE {org.wso2.carbon.server.util.PatchUtils processPatches} - Checking for patch changes ...  
[2023-01-10 8:32:07,440]  FINE {org.wso2.carbon.server.util.PatchUtils processPatches} - No new patch or service pack detected, server will start without applying patches   
