TID: [2022-12-30 09:27:40,974]  INFO {org.wso2.config.mapper.ConfigParser} - Initializing configurations with deployment configurations {org.wso2.config.mapper.ConfigParser}
TID: [-1234] [] [2022-12-30 09:28:06,262]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Starting WSO2 Carbon...
TID: [-1234] [] [2022-12-30 09:28:06,263]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Operating System : Linux 5.15.0-56-generic, amd64
TID: [-1234] [] [2022-12-30 09:28:06,263]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Java Home        : /opt/java/jdk1.8.0_301/jre
TID: [-1234] [] [2022-12-30 09:28:06,263]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Java Version     : 1.8.0_301
TID: [-1234] [] [2022-12-30 09:28:06,264]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Java VM          : Java HotSpot(TM) 64-Bit Server VM 25.301-b09,Oracle Corporation
TID: [-1234] [] [2022-12-30 09:28:06,264]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Carbon Home      : /home/server/Documents/HieuNMe/wso2am-4.1.0
TID: [-1234] [] [2022-12-30 09:28:06,264]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Java Temp Dir    : /home/server/Documents/HieuNMe/wso2am-4.1.0/tmp
TID: [-1234] [] [2022-12-30 09:28:06,264]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - User             : server, en-US, Asia/Ho_Chi_Minh
TID: [-1234] [] [2022-12-30 09:28:06,910]  INFO {org.wso2.carbon.crypto.provider.internal.DefaultCryptoProviderComponent} - 'CryptoService.Secret' property has not been set. 'org.wso2.carbon.crypto.provider.SymmetricKeyInternalCryptoProvider' won't be registered as an internal crypto provider. Please set the secret if the provider needs to be registered.
TID: [-1234] [] [2022-12-30 09:28:09,323]  INFO {org.wso2.carbon.event.output.adapter.kafka.internal.ds.KafkaEventAdapterServiceDS} - Successfully deployed the Kafka output event adaptor service
TID: [-1234] [] [2022-12-30 09:28:09,924]  INFO {org.wso2.carbon.event.template.manager.core.internal.ds.TemplateDeployerServiceTrackerDS} - Successfully deployed the execution manager tracker service
TID: [-1234] [] [2022-12-30 09:28:15,994]  INFO {org.wso2.carbon.apimgt.eventing.hub.internal.ServiceComponent} - Eventing Hub ServiceComponent is activated
TID: [-1234] [] [2022-12-30 09:28:19,089]  WARN {org.apache.tomcat.util.digester.Digester} - Match [Server/Service/Engine/Host/Valve] failed to set property [maxDays] to []
TID: [-1234] [] [2022-12-30 09:28:22,253]  INFO {org.wso2.carbon.consent.mgt.core.internal.ConsentManagerComponent} - ConsentManagerComponent is activated.
TID: [-1234] [] [2022-12-30 09:28:23,453]  INFO {org.wso2.carbon.databridge.receiver.binary.internal.BinaryDataReceiverServiceComponent} - Binary Data Receiver server activated
TID: [-1234] [] [2022-12-30 09:28:23,575]  INFO {org.wso2.carbon.databridge.core.internal.DataBridgeDS} - Successfully deployed Agent Server 
TID: [-1234] [] [2022-12-30 09:28:25,682]  INFO {org.wso2.carbon.registry.core.jdbc.EmbeddedRegistryService} - Configured Registry in 458ms
TID: [-1234] [] [2022-12-30 09:28:25,990]  INFO {org.wso2.carbon.registry.core.jdbc.EmbeddedRegistryService} - Connected to mount at configregistry in 10ms
TID: [-1234] [] [2022-12-30 09:28:25,991]  INFO {org.wso2.carbon.registry.core.jdbc.EmbeddedRegistryService} - Connected to mount at govregistry in 10ms
TID: [-1234] [] [2022-12-30 09:28:26,199]  INFO {org.wso2.carbon.registry.core.jdbc.EmbeddedRegistryService} - Connected to mount at configregistry in 1ms
TID: [-1234] [] [2022-12-30 09:28:26,199]  INFO {org.wso2.carbon.registry.core.jdbc.EmbeddedRegistryService} - Connected to mount at govregistry in 1ms
TID: [-1234] [] [2022-12-30 09:28:26,806]  INFO {org.wso2.carbon.registry.core.internal.RegistryCoreServiceComponent} - Registry Mode    : READ-WRITE
TID: [-1234] [] [2022-12-30 09:28:27,554]  INFO {org.wso2.carbon.metrics.impl.util.JmxReporterBuilder} - Creating JMX reporter for Metrics with domain 'org.wso2.carbon.metrics'
TID: [-1234] [] [2022-12-30 09:28:27,564]  INFO {org.wso2.carbon.metrics.impl.reporter.AbstractReporter} - Started JMX reporter for Metrics
TID: [-1234] [] [2022-12-30 09:28:32,575]  INFO {org.wso2.carbon.registry.indexing.solr.SolrClient} - Default Embedded Solr Server Initialized
TID: [-1234] [] [2022-12-30 09:28:32,975]  INFO {org.wso2.carbon.user.core.internal.UserStoreMgtDSComponent} - Carbon UserStoreMgtDSComponent activated successfully.
TID: [-1234] [] [2022-12-30 09:28:34,484]  INFO {org.wso2.carbon.identity.user.store.configuration.deployer.UserStoreConfigurationDeployer} - User Store Configuration Deployer initiated.
TID: [-1234] [] [2022-12-30 09:28:34,484]  INFO {org.wso2.carbon.identity.user.store.configuration.deployer.UserStoreConfigurationDeployer} - User Store Configuration Deployer initiated.
TID: [-1234] [] [2022-12-30 09:28:35,325]  INFO {org.wso2.carbon.websocket.transport.WebsocketTransportSender} - WSS Sender started
TID: [-1234] [] [2022-12-30 09:28:35,328]  INFO {org.apache.synapse.transport.passthru.PassThroughHttpSender} - Initializing Pass-through HTTP/S Sender...
TID: [-1234] [] [2022-12-30 09:28:35,370]  INFO {org.apache.synapse.transport.passthru.PassThroughHttpSender} - Pass-through HTTP Sender started...
TID: [-1234] [] [2022-12-30 09:28:35,370]  INFO {org.apache.synapse.transport.passthru.PassThroughHttpSSLSender} - Initializing Pass-through HTTP/S Sender...
TID: [-1234] [] [2022-12-30 09:28:35,376]  INFO {org.apache.synapse.transport.nhttp.config.ClientConnFactoryBuilder} - customSSLProfiles configuration is loaded from path: /home/server/Documents/HieuNMe/wso2am-4.1.0/repository/resources/security/sslprofiles.xml
TID: [-1234] [] [2022-12-30 09:28:35,376]  INFO {org.apache.synapse.transport.nhttp.config.ClientConnFactoryBuilder} - HTTPS Loading custom SSL profiles for the HTTPS sender
TID: [-1234] [] [2022-12-30 09:28:35,379]  INFO {org.apache.synapse.transport.nhttp.config.ClientConnFactoryBuilder} - HTTPS Custom SSL profiles initialized for 1 servers
TID: [-1234] [] [2022-12-30 09:28:35,379]  INFO {org.apache.synapse.transport.passthru.PassThroughHttpSSLSender} - Pass-through HTTPS Sender started...
TID: [-1234] [] [2022-12-30 09:28:35,383]  INFO {org.wso2.carbon.websocket.transport.WebsocketTransportSender} - WS Sender started
TID: [-1234] [] [2022-12-30 09:28:35,396]  INFO {org.apache.synapse.transport.passthru.PassThroughHttpListener} - Initializing Pass-through HTTP/S Listener...
TID: [-1234] [] [2022-12-30 09:28:35,415]  INFO {org.apache.synapse.transport.passthru.PassThroughHttpMultiSSLListener} - Initializing Pass-through HTTP/S Listener...
TID: [-1234] [] [2022-12-30 09:28:35,421]  INFO {org.apache.synapse.transport.nhttp.config.ServerConnFactoryBuilder} - SSLProfile configuration is loaded from path: /home/server/Documents/HieuNMe/wso2am-4.1.0/repository/resources/security/listenerprofiles.xml
TID: [-1234] [] [2022-12-30 09:28:36,362]  INFO {org.wso2.carbon.core.deployment.DeploymentInterceptor} - Deploying Axis2 service: I18nEmailMgtConfigService {super-tenant}
TID: [-1234] [] [2022-12-30 09:28:37,758]  INFO {org.wso2.carbon.core.deployment.DeploymentInterceptor} - Deploying Axis2 service: AccountCredentialMgtConfigService {super-tenant}
TID: [-1234] [] [2022-12-30 09:28:37,759]  INFO {org.wso2.carbon.core.deployment.DeploymentInterceptor} - Deploying Axis2 service: UserIdentityManagementAdminService {super-tenant}
TID: [-1234] [] [2022-12-30 09:28:37,759]  INFO {org.wso2.carbon.core.deployment.DeploymentInterceptor} - Deploying Axis2 service: UserInformationRecoveryService {super-tenant}
TID: [-1234] [] [2022-12-30 09:28:39,885]  INFO {org.wso2.carbon.core.init.CarbonServerManager} - Repository       : /home/server/Documents/HieuNMe/wso2am-4.1.0/repository/deployment/server/
TID: [-1234] [] [2022-12-30 09:28:39,888]  INFO {org.wso2.carbon.event.input.adapter.kafka.internal.ds.KafkaEventAdapterServiceHolder} - Kafka input event adaptor waiting for dependent configurations to load
TID: [-1234] [] [2022-12-30 09:28:39,900]  INFO {org.wso2.carbon.andes.core.internal.ds.QueueManagerServiceDS} - Successfully created the queue manager service
TID: [-1234] [] [2022-12-30 09:28:39,904]  INFO {org.wso2.carbon.andes.core.internal.ds.SubscriptionManagerServiceDS} - Successfully created the subscription manager service
TID: [-1234] [] [2022-12-30 09:28:39,959]  INFO {org.wso2.carbon.apimgt.persistence.internal.PersistenceManagerComponent} - Activating PersistenceManagerComponent 
TID: [-1234] [] [2022-12-30 09:28:39,986]  INFO {org.wso2.carbon.core.multitenancy.eager.TenantLoadingConfig} - Using tenant lazy loading policy...
TID: [-1234] [] [2022-12-30 09:28:40,002]  INFO {org.wso2.carbon.core.internal.permission.update.PermissionUpdater} - Permission cache updated for tenant -1234
TID: [-1234] [] [2022-12-30 09:28:40,645]  WARN {org.wso2.carbon.identity.application.mgt.internal.ApplicationManagementServiceComponent} - Templates directory not found at /home/server/Documents/HieuNMe/wso2am-4.1.0/repository/resources/identity/authntemplates
TID: [-1234] [] [2022-12-30 09:28:41,877]  INFO {org.wso2.carbon.user.core.internal.UserStoreMgtDSComponent} - Claim manager set for class org.wso2.carbon.user.core.common.DefaultRealm
TID: [-1234] [] [2022-12-30 09:28:41,879]  INFO {org.wso2.carbon.user.core.internal.UserStoreMgtDSComponent} - Claim manager set for class org.wso2.carbon.user.core.jdbc.UniqueIDJDBCUserStoreManager
TID: [-1234] [] [2022-12-30 09:28:42,025]  INFO {org.wso2.carbon.identity.entitlement.internal.SchemaBuilder} - XACML policy schema loaded successfully.
TID: [-1234] [] [2022-12-30 09:28:42,658]  INFO {org.wso2.carbon.identity.oauth.config.OAuthServerConfiguration} - The default OAuth token issuer will be used. No custom token generator is set.
TID: [-1234] [] [2022-12-30 09:28:44,081]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy applyAcceptHeader_v1 was added to the organization carbon.super successfully
TID: [-1234] [] [2022-12-30 09:28:44,085]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy xmlToJson_v1 was added to the organization carbon.super successfully
TID: [-1234] [] [2022-12-30 09:28:44,093]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy opaPolicy_v1 was added to the organization carbon.super successfully
TID: [-1234] [] [2022-12-30 09:28:44,097]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy xmlValidator_v1 was added to the organization carbon.super successfully
TID: [-1234] [] [2022-12-30 09:28:44,102]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy debugJsonFault_v1 was added to the organization carbon.super successfully
TID: [-1234] [] [2022-12-30 09:28:44,105]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy debugRequestFlow_v1 was added to the organization carbon.super successfully
TID: [-1234] [] [2022-12-30 09:28:44,110]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy rewriteResourcePath_v1 was added to the organization carbon.super successfully
TID: [-1234] [] [2022-12-30 09:28:44,117]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy jsonValidator_v1 was added to the organization carbon.super successfully
TID: [-1234] [] [2022-12-30 09:28:44,121]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy regexPolicy_v1 was added to the organization carbon.super successfully
TID: [-1234] [] [2022-12-30 09:28:44,125]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy addQueryParam_v1 was added to the organization carbon.super successfully
TID: [-1234] [] [2022-12-30 09:28:44,129]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy jsonFault_v1 was added to the organization carbon.super successfully
TID: [-1234] [] [2022-12-30 09:28:44,132]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy ccRemoveHeader_v1 was added to the organization carbon.super successfully
TID: [-1234] [] [2022-12-30 09:28:44,135]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy debugResponseFlow_v1 was added to the organization carbon.super successfully
TID: [-1234] [] [2022-12-30 09:28:44,139]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy ccChangeHTTPMethod_v1 was added to the organization carbon.super successfully
TID: [-1234] [] [2022-12-30 09:28:44,141]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy disableChunking_v1 was added to the organization carbon.super successfully
